iter	Passed	Remaining
804	5364	1299
805	5368	1292
806	5371	1284
807	5374	1277
808	5378	1269
809	5381	1262
810	5384	1254
811	5387	1247
812	5392	1240
813	5396	1233
814	5400	1225
815	5403	1218
816	5407	1211
817	5410	1203
818	5413	1196
819	5417	1189
820	5420	1181
821	5424	1174
822	5429	1167
823	5433	1160
824	5437	1153
825	5441	1146
826	5444	1139
827	5447	1131
828	5451	1124
829	5454	1117
830	5458	1110
831	5462	1103
832	5466	1095
833	5469	1088
834	5472	1081
835	5476	1074
836	5479	1067
837	5482	1059
838	5487	1053
839	5490	1045
840	5494	1038
841	5500	1032
842	5503	1024
843	5506	1017
844	5510	1010
845	5518	1004
846	5532	999
847	5541	993
848	5555	988
849	5571	983
850	5574	976
851	5579	969
852	5583	962
853	5588	955
854	5592	948
855	5596	941
856	5600	934
857	5603	927
858	5608	920
859	5612	913
860	5615	906
861	5620	899
862	5623	892
863	5627	885
864	5630	878
865	5634	871
866	5639	865
867	5649	859
868	5655	852
869	5658	845
870	5663	838
871	5671	832
872	5674	825
873	5678	818
874	5682	811
875	5686	804
876	5692	798
877	5700	792
878	5704	785
879	5709	778
880	5717	772
881	5721	765
882	5724	758
883	5729	751
884	5735	745
885	5739	738
886	5742	731
887	5747	724
888	5751	718
889	5756	711
890	5760	704
891	5764	697
892	5768	691
893	5771	684
894	5777	677
895	5782	671
896	5786	664
897	5790	657
898	5794	650
899	5800	644
900	5804	637
901	5807	631
902	5813	624
903	5817	617
904	5821	611
905	5824	604
906	5830	597
907	5834	591
908	5837	584
909	5840	577
910	5846	571
911	5851	564
912	5856	558
913	5860	551
914	5865	544
915	5871	538
916	5878	532
917	5885	525
918	5895	519
919	5901	513
920	5904	506
921	5909	499
922	5919	493
923	5939	488
924	5947	482
925	5966	476
926	5983	471
927	6017	466
928	6033	461
929	6043	454
930	6054	448
931	6064	442
932	6081	436
933	6090	430
934	6097	423
935	6121	418
936	6130	412
937	6155	406
938	6165	400
939	6192	395
940	6213	389
941	6226	383
942	6267	378
943	6279	372
944	6283	365
945	6286	358
946	6289	351
947	6292	345
948	6295	338
949	6299	331
950	6304	324
951	6310	318
952	6318	311
953	6323	304
954	6344	298
955	6352	292
956	6356	285
957	6359	278
958	6362	272
959	6366	265
960	6369	258
961	6372	251
962	6375	244
963	6378	238
964	6382	231
965	6385	224
966	6388	218
967	6391	211
968	6395	204
969	6398	197
970	6401	191
971	6404	184
972	6408	177
973	6411	171
974	6414	164
975	6417	157
976	6421	151
977	6424	144
978	6427	137
979	6436	131
980	6440	124
981	6450	118
982	6454	111
983	6458	105
984	6462	98
985	6466	91
986	6469	85
987	6473	78
988	6476	72
989	6479	65
990	6483	58
991	6486	52
992	6489	45
993	6493	39
994	6496	32
995	6499	26
996	6503	19
997	6506	13
998	6509	6
999	6513	0
